,LowerBound FoldChange,Maximum Likelihood FoldChange,Upperbound FoldChange,Conservative Estimate FoldChange,Uncorrected Z-Score,Z-Score Corrected for Multiple Testing,symbol,OvaryLog2FC,WTLog2FC,UsedForOrdering,EmbryonicallyDimorphic
ENSMUSG00000024588,-8.07618371542565,-4.4532227963562,-0.528348467364296,-0.528348467364296,-2.21983362508525,-0.272934803289704,Fech,-0.00940288568661751,-0.830470905348753,no,no
ENSMUSG00000068417,-7.92522701046442,-5.39670220236386,-0.754783524806134,-0.754783524806134,-2.22617676409765,-0.284229355909055,Pnp2,-0.362110198128622,1.0377680393459,no,no
ENSMUSG00000074743,-9.39705488383638,-7.1704434856583,-1.88695881201534,-1.88695881201534,-2.22788684372138,-0.284229355909055,Thbd,-0.121799452135982,-2.05698678014941,no,no
ENSMUSG00000022681,-7.2459218381389,-3.88713515275159,-0.490609291123988,-0.490609291123988,-2.23026939653287,-0.285082458571402,Ntan1,-0.442486599351588,-0.247111155646424,no,no
ENSMUSG00000035614,-7.66105277678228,-4.83061455875928,-0.603826819844911,-0.603826819844911,-2.23374589768604,-0.289074905596504,Fam179b,0.188240775224325,2.00786981642178,no,no
ENSMUSG00000038352,-6.94400842821646,-4.4532227963562,-0.679305172325522,-0.679305172325522,-2.24040013989287,-0.297906229177874,Arl5c,-0.52342490820606,-2.74549630397063,no,no
ENSMUSG00000029622,-8.15166206790625,-5.66087643604603,-0.603826819844911,-0.603826819844911,-2.24158419176847,-0.297906229177874,Arpc1b,1.30598942999067,-1.56453665451323,no,no
ENSMUSG00000003813,-7.92522701046442,-5.66087643604603,-1.05669693472859,-1.05669693472859,-2.2435407372636,-0.299250407761668,Rad23a,0.0217849131366641,1.28771565012712,no,no
ENSMUSG00000052415,-8.71774971151087,-6.52887748957308,-1.35861034465104,-1.35861034465104,-2.24585171345008,-0.301063969798001,Tchh,1.09574345550852,0.252045221756978,no,no
ENSMUSG00000044807,-8.90644559271241,-6.34018160837155,-0.452870114883684,-0.452870114883684,-2.24592030320095,-0.301063969798001,Zfp354c,-0.532708729424806,-1.05367641273755,no,no
ENSMUSG00000030541,-7.1704434856583,-4.4909619725965,-0.603826819844911,-0.603826819844911,-2.2484699360753,-0.301760540961445,Idh2,-1.5328947998552,-3.5335191367131,no,no
ENSMUSG00000090535,-6.71757337077462,-3.58522174282915,-0.490609291123988,-0.490609291123988,-2.24862083894321,-0.301760540961445,NA,1.26088657934344,4.32299628447108,no,no
ENSMUSG00000032000,-8.30261877286749,-5.77409396476693,-0.754783524806134,-0.754783524806134,-2.25061244786798,-0.303873925873798,Birc3,0.511292632291171,-2.31192282229372,no,no
ENSMUSG00000021591,-8.30261877286749,-5.77409396476693,-0.528348467364296,-0.528348467364296,-2.25158466564841,-0.304669635546589,Glrx,-0.52765304039837,-3.25378885046758,no,no
ENSMUSG00000009418,-8.86870641647211,-6.75531254701492,-0.528348467364296,-0.528348467364296,-2.25170214333033,-0.304669635546589,Nav1,-0.7873049985727,-2.78092537702627,no,yes
ENSMUSG00000010830,-7.2459218381389,-4.4532227963562,-0.641565996085218,-0.641565996085218,-2.25177158955795,-0.304669635546589,Kdelr3,-1.3337332703898,-3.29044218273681,no,no
ENSMUSG00000025981,-7.77427030550321,-3.62296091906945,-0.490609291123988,-0.490609291123988,-2.25243296547769,-0.304669635546589,Coq10b,0.137860331900943,0.679865360474026,no,yes
